# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-10-07 16:04:36 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03290500 KENTUCKY RIVER AT LOCK 2 AT LOCKPORT, KY
# -----------------------------------------------------------------------------------
#
# Data provided for site 03290500
#    DD parameter statistic   Description
#    06   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	06_00060_00003	06_00060_00003_cd
USGS	03290500	2014-03-01	11200	P
USGS	03290500	2014-03-02	10300	P
USGS	03290500	2014-03-03	16700	P
USGS	03290500	2014-03-04	24500	P
USGS	03290500	2014-03-05	32300	P
USGS	03290500	2014-03-06	28700	P
USGS	03290500	2014-03-07	23000	P
USGS	03290500	2014-03-08	23200	P
USGS	03290500	2014-03-09	23500	P
USGS	03290500	2014-03-10	21800	P
USGS	03290500	2014-03-11	20100	P
USGS	03290500	2014-03-12	17000	P
USGS	03290500	2014-03-13	13800	P
USGS	03290500	2014-03-14	12000	P
USGS	03290500	2014-03-15	10400	P
USGS	03290500	2014-03-16	9510	P
USGS	03290500	2014-03-17	8690	P
USGS	03290500	2014-03-18	8350	P
USGS	03290500	2014-03-19	9760	P
USGS	03290500	2014-03-20	11300	P
USGS	03290500	2014-03-21	11100	P
USGS	03290500	2014-03-22	10300	P
USGS	03290500	2014-03-23	9220	P
USGS	03290500	2014-03-24	8310	P
USGS	03290500	2014-03-25	6680	P
USGS	03290500	2014-03-26	6080	P
USGS	03290500	2014-03-27	6100	P
USGS	03290500	2014-03-28	4910	P
USGS	03290500	2014-03-29	5420	P
USGS	03290500	2014-03-30	9630	P
USGS	03290500	2014-03-31	19600	P
USGS	03290500	2014-04-01	26100	P
USGS	03290500	2014-04-02	20800	P
USGS	03290500	2014-04-03	18200	P
USGS	03290500	2014-04-04	33700	P
USGS	03290500	2014-04-05	46400	P
USGS	03290500	2014-04-06	48000	P
USGS	03290500	2014-04-07	36800	P
USGS	03290500	2014-04-08	22500	P
USGS	03290500	2014-04-09	18000	P
USGS	03290500	2014-04-10	15100	P
USGS	03290500	2014-04-11	12800	P
USGS	03290500	2014-04-12	10600	P
USGS	03290500	2014-04-13	8970	P
USGS	03290500	2014-04-14	8100	P
USGS	03290500	2014-04-15	7630	P
USGS	03290500	2014-04-16	6170	P
USGS	03290500	2014-04-17	5580	P
USGS	03290500	2014-04-18	5080	P
USGS	03290500	2014-04-19	4680	P
USGS	03290500	2014-04-20	4280	P
USGS	03290500	2014-04-21	3910	P
USGS	03290500	2014-04-22	3650	P
USGS	03290500	2014-04-23	3420	P
USGS	03290500	2014-04-24	3210	P
USGS	03290500	2014-04-25	3240	P
USGS	03290500	2014-04-26	3560	P
USGS	03290500	2014-04-27	4100	P
USGS	03290500	2014-04-28	5820	P
USGS	03290500	2014-04-29	18800	P
USGS	03290500	2014-04-30	22800	P
USGS	03290500	2014-05-01	43800	P
USGS	03290500	2014-05-02	47000	P
USGS	03290500	2014-05-03	35800	P
USGS	03290500	2014-05-04	21400	P
USGS	03290500	2014-05-05	13900	P
USGS	03290500	2014-05-06	10700	P
USGS	03290500	2014-05-07	8140	P
USGS	03290500	2014-05-08	7010	P
USGS	03290500	2014-05-09	6220	P
USGS	03290500	2014-05-10	6640	P
USGS	03290500	2014-05-11	6310	P
USGS	03290500	2014-05-12	5420	P
USGS	03290500	2014-05-13	6030	P
USGS	03290500	2014-05-14	6770	P
USGS	03290500	2014-05-15	15200	P
USGS	03290500	2014-05-16	9450	P
USGS	03290500	2014-05-17	6900	P
USGS	03290500	2014-05-18	5620	P
USGS	03290500	2014-05-19	4590	P
USGS	03290500	2014-05-20	3860	P
USGS	03290500	2014-05-21	4890	P
USGS	03290500	2014-05-22	12700	P
USGS	03290500	2014-05-23	11000	P
USGS	03290500	2014-05-24	8510	P
USGS	03290500	2014-05-25	6330	P
USGS	03290500	2014-05-26	4980	P
USGS	03290500	2014-05-27	4020	P
USGS	03290500	2014-05-28	3290	P
USGS	03290500	2014-05-29	2820	P
USGS	03290500	2014-05-30	2530	P
USGS	03290500	2014-05-31	2280	P
USGS	03290500	2014-06-01	2150	P
USGS	03290500	2014-06-02	2040	P
USGS	03290500	2014-06-03	1810	P
USGS	03290500	2014-06-04	1590	P
USGS	03290500	2014-06-05	2500	P
USGS	03290500	2014-06-06	3680	P
USGS	03290500	2014-06-07	3110	P
USGS	03290500	2014-06-08	2380	P
USGS	03290500	2014-06-09	2010	P
USGS	03290500	2014-06-10	1950	P
USGS	03290500	2014-06-11	3100	P
USGS	03290500	2014-06-12	2470	P
USGS	03290500	2014-06-13	2200	P
USGS	03290500	2014-06-14	1870	P
USGS	03290500	2014-06-15	1680	P
USGS	03290500	2014-06-16	1480	P
USGS	03290500	2014-06-17	1170	P
USGS	03290500	2014-06-18	1060	P
USGS	03290500	2014-06-19	1140	P
USGS	03290500	2014-06-20	1860	P
USGS	03290500	2014-06-21	1280	P
USGS	03290500	2014-06-22	963	P
USGS	03290500	2014-06-23	1220	P
USGS	03290500	2014-06-24	1180	P
USGS	03290500	2014-06-25	1170	P
USGS	03290500	2014-06-26	1190	P
USGS	03290500	2014-06-27	1420	P
USGS	03290500	2014-06-28	1310	P
USGS	03290500	2014-06-29	1150	P
USGS	03290500	2014-06-30	1210	P
USGS	03290500	2014-07-01	1270	P
USGS	03290500	2014-07-02	1270	P
USGS	03290500	2014-07-03	1270	P
USGS	03290500	2014-07-04	1170	P
USGS	03290500	2014-07-05	896	P
USGS	03290500	2014-07-06	755	P
USGS	03290500	2014-07-07	624	P
USGS	03290500	2014-07-08	547	P
USGS	03290500	2014-07-09	429	P
USGS	03290500	2014-07-10	365	P
USGS	03290500	2014-07-11	329	P
USGS	03290500	2014-07-12	305	P
USGS	03290500	2014-07-13	312	P
USGS	03290500	2014-07-14	407	P
USGS	03290500	2014-07-15	612	P
USGS	03290500	2014-07-16	848	P
USGS	03290500	2014-07-17	1150	P
USGS	03290500	2014-07-18	1410	P
USGS	03290500	2014-07-19	1810	P
USGS	03290500	2014-07-20	1960	P
USGS	03290500	2014-07-21	1740	P
USGS	03290500	2014-07-22	1680	P
USGS	03290500	2014-07-23	2420	P
USGS	03290500	2014-07-24	2530	P
USGS	03290500	2014-07-25	2200	P
USGS	03290500	2014-07-26	2330	P
USGS	03290500	2014-07-27	2670	P
USGS	03290500	2014-07-28	2930	P
USGS	03290500	2014-07-29	4660	P
USGS	03290500	2014-07-30	6740	P
USGS	03290500	2014-07-31	6010	P
USGS	03290500	2014-08-01	4290	P
USGS	03290500	2014-08-02	2760	P
USGS	03290500	2014-08-03	1860	P
USGS	03290500	2014-08-04	1550	P
USGS	03290500	2014-08-05	1300	P
USGS	03290500	2014-08-06	1030	P
USGS	03290500	2014-08-07	784	P
USGS	03290500	2014-08-08	663	P
USGS	03290500	2014-08-09	636	P
USGS	03290500	2014-08-10	705	P
USGS	03290500	2014-08-11	3460	P
USGS	03290500	2014-08-12	6610	P
USGS	03290500	2014-08-13	9800	P
USGS	03290500	2014-08-14	10100	P
USGS	03290500	2014-08-15	7050	P
USGS	03290500	2014-08-16	4550	P
USGS	03290500	2014-08-17	3060	P
USGS	03290500	2014-08-18	2440	P
USGS	03290500	2014-08-19	2140	P
USGS	03290500	2014-08-20	3210	P
USGS	03290500	2014-08-21	7610	P
USGS	03290500	2014-08-22	8530	P
USGS	03290500	2014-08-23	16400	P
USGS	03290500	2014-08-24	19700	P
USGS	03290500	2014-08-25	15100	P
USGS	03290500	2014-08-26	10100	P
USGS	03290500	2014-08-27	7100	P
USGS	03290500	2014-08-28	5350	P
USGS	03290500	2014-08-29	3840	P
USGS	03290500	2014-08-30	2850	P
USGS	03290500	2014-08-31	2370	P
USGS	03290500	2014-09-01	2190	P
USGS	03290500	2014-09-02	4350	P
USGS	03290500	2014-09-03	8290	P
USGS	03290500	2014-09-04	7660	P
USGS	03290500	2014-09-05	6200	P
USGS	03290500	2014-09-06	7300	P
USGS	03290500	2014-09-07	6650	P
USGS	03290500	2014-09-08	5880	P
USGS	03290500	2014-09-09	6590	P
USGS	03290500	2014-09-10	5230	P
USGS	03290500	2014-09-11	9910	P
USGS	03290500	2014-09-12	10800	P
USGS	03290500	2014-09-13	8380	P
USGS	03290500	2014-09-14	6280	P
USGS	03290500	2014-09-15	4880	P
USGS	03290500	2014-09-16	4230	P
USGS	03290500	2014-09-17	3480	P
USGS	03290500	2014-09-18	2820	P
USGS	03290500	2014-09-19	2370	P
USGS	03290500	2014-09-20	2040	P
USGS	03290500	2014-09-21	1750	P
USGS	03290500	2014-09-22	1430	P
USGS	03290500	2014-09-23	1250	P
USGS	03290500	2014-09-24	1130	P
USGS	03290500	2014-09-25	1010	P
USGS	03290500	2014-09-26	981	P
USGS	03290500	2014-09-27	920	P
USGS	03290500	2014-09-28	823	P
USGS	03290500	2014-09-29	763	P
USGS	03290500	2014-09-30	716	P
USGS	03290500	2014-10-01	707	P
USGS	03290500	2014-10-02	684	P
USGS	03290500	2014-10-03	646	P
USGS	03290500	2014-10-04	617	P
USGS	03290500	2014-10-05	584	P
USGS	03290500	2014-10-06	647	P
