# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-07-14 12:22:32 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03253000 SOUTH FORK LICKING RIVER AT HAYES, KY
# -----------------------------------------------------------------------------------
#
# Data provided for site 03253000
#    DD parameter   Description
#    02   00065     Gage height, feet
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
#     T  Value exceeds "standard difference" threshold.  
#     h  Value exceeds "high" threshold.  
#     ~  Value is a system interpolated value.  
# 
agency_cd	site_no	datetime	tz_cd	02_00065	02_00065_cd
USGS	03253000	2015-03-16 06:00	EDT	10.25	P
USGS	03253000	2015-03-16 06:15	EDT	10.20	P
USGS	03253000	2015-03-16 06:30	EDT	10.17	P
USGS	03253000	2015-03-16 06:45	EDT	10.14	P
USGS	03253000	2015-03-16 07:00	EDT	10.11	P
USGS	03253000	2015-03-16 07:15	EDT	10.08	P
USGS	03253000	2015-03-16 07:30	EDT	10.03	P
USGS	03253000	2015-03-16 07:45	EDT	10.02	P
USGS	03253000	2015-03-16 08:00	EDT	9.98	P
USGS	03253000	2015-03-16 08:15	EDT	9.93	P
USGS	03253000	2015-03-16 08:30	EDT	9.89	P
USGS	03253000	2015-03-16 08:45	EDT	9.87	P
USGS	03253000	2015-03-16 09:00	EDT	9.82	P
USGS	03253000	2015-03-16 09:15	EDT	9.77	P
USGS	03253000	2015-03-16 09:30	EDT	9.77	P
USGS	03253000	2015-03-16 09:45	EDT	9.69	P
USGS	03253000	2015-03-16 10:00	EDT	9.70	P
USGS	03253000	2015-03-16 10:15	EDT	9.60	P
USGS	03253000	2015-03-16 10:30	EDT	9.57	P
USGS	03253000	2015-03-16 10:45	EDT	9.57	P
USGS	03253000	2015-03-16 11:00	EDT	9.52	P
USGS	03253000	2015-03-16 11:15	EDT	9.50	P
USGS	03253000	2015-03-16 11:30	EDT	9.46	P
USGS	03253000	2015-03-16 11:45	EDT	9.40	P
USGS	03253000	2015-03-16 12:00	EDT	9.38	P
USGS	03253000	2015-03-16 12:15	EDT	9.35	P
USGS	03253000	2015-03-16 12:30	EDT	9.33	P
USGS	03253000	2015-03-16 12:45	EDT	9.32	P
USGS	03253000	2015-03-16 13:00	EDT	9.25	P
USGS	03253000	2015-03-16 13:15	EDT	9.24	P
USGS	03253000	2015-03-16 13:30	EDT	9.19	P
USGS	03253000	2015-03-16 13:45	EDT	9.17	P
USGS	03253000	2015-03-16 14:00	EDT	9.14	P
USGS	03253000	2015-03-16 14:15	EDT	9.08	P
USGS	03253000	2015-03-16 14:30	EDT	9.07	P
USGS	03253000	2015-03-16 14:45	EDT	9.03	P
USGS	03253000	2015-03-16 15:00	EDT	8.96	P
USGS	03253000	2015-03-16 15:15	EDT	8.96	P
USGS	03253000	2015-03-16 15:30	EDT	8.91	P
USGS	03253000	2015-03-16 15:45	EDT	8.90	P
USGS	03253000	2015-03-16 16:00	EDT	8.86	P
USGS	03253000	2015-03-16 16:15	EDT	8.82	P
USGS	03253000	2015-03-16 16:30	EDT	8.79	P
USGS	03253000	2015-03-16 16:45	EDT	8.77	P
USGS	03253000	2015-03-16 17:00	EDT	8.75	P
USGS	03253000	2015-03-16 17:15	EDT	8.70	P
USGS	03253000	2015-03-16 17:30	EDT	8.67	P
USGS	03253000	2015-03-16 17:45	EDT	8.64	P
USGS	03253000	2015-03-16 18:00	EDT	8.61	P
USGS	03253000	2015-03-16 18:15	EDT	8.58	P
USGS	03253000	2015-03-16 18:30	EDT	8.56	P
USGS	03253000	2015-03-16 18:45	EDT	8.52	P
USGS	03253000	2015-03-16 19:00	EDT	8.47	P
USGS	03253000	2015-03-16 19:15	EDT	8.46	P
USGS	03253000	2015-03-16 19:30	EDT	8.42	P
USGS	03253000	2015-03-16 19:45	EDT	8.40	P
USGS	03253000	2015-03-16 20:00	EDT	8.37	P
USGS	03253000	2015-03-16 20:15	EDT	8.34	P
USGS	03253000	2015-03-16 20:30	EDT	8.31	P
USGS	03253000	2015-03-16 20:45	EDT	8.30	P
USGS	03253000	2015-03-16 21:00	EDT	8.26	P
USGS	03253000	2015-03-16 21:15	EDT	8.24	P
USGS	03253000	2015-03-16 21:30	EDT	8.21	P
USGS	03253000	2015-03-16 21:45	EDT	8.19	P
USGS	03253000	2015-03-16 22:00	EDT	8.16	P
USGS	03253000	2015-03-16 22:15	EDT	8.14	P
USGS	03253000	2015-03-16 22:30	EDT	8.11	P
USGS	03253000	2015-03-16 22:45	EDT	8.08	P
USGS	03253000	2015-03-16 23:00	EDT	8.05	P
USGS	03253000	2015-03-16 23:15	EDT	8.02	P
USGS	03253000	2015-03-16 23:30	EDT	8.02	P
USGS	03253000	2015-03-16 23:45	EDT	7.99	P
USGS	03253000	2015-03-17 00:00	EDT	7.95	P
USGS	03253000	2015-03-17 00:15	EDT	7.92	P
USGS	03253000	2015-03-17 00:30	EDT	7.91	P
USGS	03253000	2015-03-17 00:45	EDT	7.88	P
USGS	03253000	2015-03-17 01:00	EDT	7.89	P
USGS	03253000	2015-03-17 01:15	EDT	7.87	P
USGS	03253000	2015-03-17 01:30	EDT	7.83	P
USGS	03253000	2015-03-17 01:45	EDT	7.80	P
USGS	03253000	2015-03-17 02:00	EDT	7.77	P
USGS	03253000	2015-03-17 02:15	EDT	7.77	P
USGS	03253000	2015-03-17 02:30	EDT	7.77	P
USGS	03253000	2015-03-17 02:45	EDT	7.75	P
USGS	03253000	2015-03-17 03:00	EDT	7.71	P
USGS	03253000	2015-03-17 03:15	EDT	7.70	P
USGS	03253000	2015-03-17 03:30	EDT	7.68	P
USGS	03253000	2015-03-17 03:45	EDT	7.65	P
USGS	03253000	2015-03-17 04:00	EDT	7.65	P
USGS	03253000	2015-03-17 04:15	EDT	7.62	P
USGS	03253000	2015-03-17 04:30	EDT	7.60	P
USGS	03253000	2015-03-17 04:45	EDT	7.59	P
USGS	03253000	2015-03-17 05:00	EDT	7.55	P
USGS	03253000	2015-03-17 05:15	EDT	7.56	P
USGS	03253000	2015-03-17 05:30	EDT	7.55	P
USGS	03253000	2015-03-17 05:45	EDT	7.54	P
USGS	03253000	2015-03-17 06:00	EDT	7.50	P
USGS	03253000	2015-03-17 06:15	EDT	7.47	P
USGS	03253000	2015-03-17 06:30	EDT	7.45	P
USGS	03253000	2015-03-17 06:45	EDT	7.44	P
USGS	03253000	2015-03-17 07:00	EDT	7.43	P
USGS	03253000	2015-03-17 07:15	EDT	7.40	P
USGS	03253000	2015-03-17 07:30	EDT	7.39	P
USGS	03253000	2015-03-17 07:45	EDT	7.37	P
USGS	03253000	2015-03-17 08:00	EDT	7.36	P
USGS	03253000	2015-03-17 08:15	EDT	7.35	P
USGS	03253000	2015-03-17 08:30	EDT	7.33	P
USGS	03253000	2015-03-17 08:45	EDT	7.31	P
USGS	03253000	2015-03-17 09:00	EDT	7.30	P
USGS	03253000	2015-03-17 09:15	EDT	7.28	P
USGS	03253000	2015-03-17 09:30	EDT	7.27	P
USGS	03253000	2015-03-17 09:45	EDT	7.27	P
USGS	03253000	2015-03-17 10:00	EDT	7.24	P
USGS	03253000	2015-03-17 10:15	EDT	7.21	P
USGS	03253000	2015-03-17 10:30	EDT	7.22	P
USGS	03253000	2015-03-17 10:45	EDT	7.19	P
USGS	03253000	2015-03-17 11:00	EDT	7.17	P
USGS	03253000	2015-03-17 11:15	EDT	7.17	P
USGS	03253000	2015-03-17 11:30	EDT	7.14	P
USGS	03253000	2015-03-17 11:45	EDT	7.12	P
USGS	03253000	2015-03-17 12:00	EDT	7.12	P
USGS	03253000	2015-03-17 12:15	EDT	7.11	P
USGS	03253000	2015-03-17 12:30	EDT	7.10	P
USGS	03253000	2015-03-17 12:45	EDT	7.06	P
USGS	03253000	2015-03-17 13:00	EDT	7.06	P
USGS	03253000	2015-03-17 13:15	EDT	7.05	P
USGS	03253000	2015-03-17 13:30	EDT	7.04	P
USGS	03253000	2015-03-17 13:45	EDT	7.04	P
USGS	03253000	2015-03-17 14:00	EDT	7.03	P
USGS	03253000	2015-03-17 14:15	EDT	7.02	P
USGS	03253000	2015-03-17 14:30	EDT	6.99	P
USGS	03253000	2015-03-17 14:45	EDT	6.98	P
USGS	03253000	2015-03-17 15:00	EDT	6.96	P
USGS	03253000	2015-03-17 15:15	EDT	6.95	P
USGS	03253000	2015-03-17 15:30	EDT	6.93	P
USGS	03253000	2015-03-17 15:45	EDT	6.93	P
USGS	03253000	2015-03-17 16:00	EDT	6.91	P
USGS	03253000	2015-03-17 16:15	EDT	6.90	P
USGS	03253000	2015-03-17 16:30	EDT	6.88	P
USGS	03253000	2015-03-17 16:45	EDT	6.87	P
USGS	03253000	2015-03-17 17:00	EDT	6.87	P
USGS	03253000	2015-03-17 17:15	EDT	6.85	P
USGS	03253000	2015-03-17 17:30	EDT	6.86	P
USGS	03253000	2015-03-17 17:45	EDT	6.82	P
USGS	03253000	2015-03-17 18:00	EDT	6.82	P
USGS	03253000	2015-03-17 18:15	EDT	6.81	P
USGS	03253000	2015-03-17 18:30	EDT	6.81	P
USGS	03253000	2015-03-17 18:45	EDT	6.79	P
USGS	03253000	2015-03-17 19:00	EDT	6.77	P
USGS	03253000	2015-03-17 19:15	EDT	6.76	P
USGS	03253000	2015-03-17 19:30	EDT	6.77	P
USGS	03253000	2015-03-17 19:45	EDT	6.75	P
USGS	03253000	2015-03-17 20:00	EDT	6.74	P
USGS	03253000	2015-03-17 20:15	EDT	6.74	P
USGS	03253000	2015-03-17 20:30	EDT	6.72	P
USGS	03253000	2015-03-17 20:45	EDT	6.71	P
USGS	03253000	2015-03-17 21:00	EDT	6.70	P
USGS	03253000	2015-03-17 21:15	EDT	6.70	P
USGS	03253000	2015-03-17 21:30	EDT	6.69	P
USGS	03253000	2015-03-17 21:45	EDT	6.67	P
USGS	03253000	2015-03-17 22:00	EDT	6.67	P
USGS	03253000	2015-03-17 22:15	EDT	6.67	P
USGS	03253000	2015-03-17 22:30	EDT	6.66	P
USGS	03253000	2015-03-17 22:45	EDT	6.64	P
USGS	03253000	2015-03-17 23:00	EDT	6.64	P
USGS	03253000	2015-03-17 23:15	EDT	6.63	P
USGS	03253000	2015-03-17 23:30	EDT	6.62	P
USGS	03253000	2015-03-17 23:45	EDT	6.61	P
USGS	03253000	2015-03-18 00:00	EDT	6.60	P
USGS	03253000	2015-03-18 00:15	EDT	6.60	P
USGS	03253000	2015-03-18 00:30	EDT	6.58	P
USGS	03253000	2015-03-18 00:45	EDT	6.57	P
USGS	03253000	2015-03-18 01:00	EDT	6.56	P
USGS	03253000	2015-03-18 01:15	EDT	6.56	P
USGS	03253000	2015-03-18 01:30	EDT	6.55	P
USGS	03253000	2015-03-18 01:45	EDT	6.55	P
USGS	03253000	2015-03-18 02:00	EDT	6.53	P
USGS	03253000	2015-03-18 02:15	EDT	6.53	P
USGS	03253000	2015-03-18 02:30	EDT	6.52	P
USGS	03253000	2015-03-18 02:45	EDT	6.51	P
USGS	03253000	2015-03-18 03:00	EDT	6.50	P
USGS	03253000	2015-03-18 03:15	EDT	6.50	P
USGS	03253000	2015-03-18 03:30	EDT	6.49	P
USGS	03253000	2015-03-18 03:45	EDT	6.49	P
USGS	03253000	2015-03-18 04:00	EDT	6.47	P
USGS	03253000	2015-03-18 04:15	EDT	6.47	P
USGS	03253000	2015-03-18 04:30	EDT	6.47	P
USGS	03253000	2015-03-18 04:45	EDT	6.46	P
USGS	03253000	2015-03-18 05:00	EDT	6.44	P
USGS	03253000	2015-03-18 05:15	EDT	6.45	P
USGS	03253000	2015-03-18 05:30	EDT	6.42	P
USGS	03253000	2015-03-18 05:45	EDT	6.42	P
USGS	03253000	2015-03-18 06:00	EDT	6.42	P
USGS	03253000	2015-03-18 06:15	EDT	6.40	P
USGS	03253000	2015-03-18 06:30	EDT	6.40	P
USGS	03253000	2015-03-18 06:45	EDT	6.39	P
USGS	03253000	2015-03-18 07:00	EDT	6.39	P
USGS	03253000	2015-03-18 07:15	EDT	6.38	P
USGS	03253000	2015-03-18 07:30	EDT	6.36	P
USGS	03253000	2015-03-18 07:45	EDT	6.37	P
USGS	03253000	2015-03-18 08:00	EDT	6.36	P
USGS	03253000	2015-03-18 08:15	EDT	6.35	P
USGS	03253000	2015-03-18 08:30	EDT	6.35	P
USGS	03253000	2015-03-18 08:45	EDT	6.33	P
USGS	03253000	2015-03-18 09:00	EDT	6.32	P
USGS	03253000	2015-03-18 09:15	EDT	6.31	P
USGS	03253000	2015-03-18 09:30	EDT	6.30	P
USGS	03253000	2015-03-18 09:45	EDT	6.29	P
USGS	03253000	2015-03-18 10:00	EDT	6.29	P
USGS	03253000	2015-03-18 10:15	EDT	6.27	P
USGS	03253000	2015-03-18 10:30	EDT	6.26	P
USGS	03253000	2015-03-18 10:45	EDT	6.26	P
USGS	03253000	2015-03-18 11:00	EDT	6.25	P
USGS	03253000	2015-03-18 11:15	EDT	6.25	P
USGS	03253000	2015-03-18 11:30	EDT	6.24	P
USGS	03253000	2015-03-18 11:45	EDT	6.22	P
USGS	03253000	2015-03-18 12:00	EDT	6.22	P
USGS	03253000	2015-03-18 12:15	EDT	6.23	P
USGS	03253000	2015-03-18 12:30	EDT	6.20	P
USGS	03253000	2015-03-18 12:45	EDT	6.21	P
USGS	03253000	2015-03-18 13:00	EDT	6.19	P
USGS	03253000	2015-03-18 13:15	EDT	6.19	P
USGS	03253000	2015-03-18 13:30	EDT	6.17	P
USGS	03253000	2015-03-18 13:45	EDT	6.17	P
USGS	03253000	2015-03-18 14:00	EDT	6.17	P
USGS	03253000	2015-03-18 14:15	EDT	6.15	P
USGS	03253000	2015-03-18 14:30	EDT	6.15	P
USGS	03253000	2015-03-18 14:45	EDT	6.15	P
USGS	03253000	2015-03-18 15:00	EDT	6.13	P
USGS	03253000	2015-03-18 15:15	EDT	6.13	P
USGS	03253000	2015-03-18 15:30	EDT	6.12	P
USGS	03253000	2015-03-18 15:45	EDT	6.12	P
USGS	03253000	2015-03-18 16:00	EDT	6.11	P
USGS	03253000	2015-03-18 16:15	EDT	6.10	P
USGS	03253000	2015-03-18 16:30	EDT	6.10	P
USGS	03253000	2015-03-18 16:45	EDT	6.09	P
USGS	03253000	2015-03-18 17:00	EDT	6.09	P
USGS	03253000	2015-03-18 17:15	EDT	6.08	P
USGS	03253000	2015-03-18 17:30	EDT	6.06	P
USGS	03253000	2015-03-18 17:45	EDT	6.05	P
USGS	03253000	2015-03-18 18:00	EDT	6.05	P
USGS	03253000	2015-03-18 18:15	EDT	6.05	P
USGS	03253000	2015-03-18 18:30	EDT	6.04	P
USGS	03253000	2015-03-18 18:45	EDT	6.04	P
USGS	03253000	2015-03-18 19:00	EDT	6.03	P
USGS	03253000	2015-03-18 19:15	EDT	6.02	P
USGS	03253000	2015-03-18 19:30	EDT	6.02	P
USGS	03253000	2015-03-18 19:45	EDT	6.01	P
USGS	03253000	2015-03-18 20:00	EDT	6.01	P
USGS	03253000	2015-03-18 20:15	EDT	6.00	P
USGS	03253000	2015-03-18 20:30	EDT	5.99	P
USGS	03253000	2015-03-18 20:45	EDT	5.98	P
USGS	03253000	2015-03-18 21:00	EDT	5.98	P
USGS	03253000	2015-03-18 21:15	EDT	5.97	P
USGS	03253000	2015-03-18 21:30	EDT	5.97	P
USGS	03253000	2015-03-18 21:45	EDT	5.97	P
USGS	03253000	2015-03-18 22:00	EDT	5.96	P
USGS	03253000	2015-03-18 22:15	EDT	5.95	P
USGS	03253000	2015-03-18 22:30	EDT	5.94	P
USGS	03253000	2015-03-18 22:45	EDT	5.95	P
USGS	03253000	2015-03-18 23:00	EDT	5.94	P
USGS	03253000	2015-03-18 23:15	EDT	5.93	P
USGS	03253000	2015-03-18 23:30	EDT	5.93	P
USGS	03253000	2015-03-18 23:45	EDT	5.92	P
USGS	03253000	2015-03-19 00:00	EDT	5.92	P
USGS	03253000	2015-03-19 00:15	EDT	5.91	P
USGS	03253000	2015-03-19 00:30	EDT	5.91	P
USGS	03253000	2015-03-19 00:45	EDT	5.89	P
USGS	03253000	2015-03-19 01:00	EDT	5.89	P
USGS	03253000	2015-03-19 01:15	EDT	5.89	P
USGS	03253000	2015-03-19 01:30	EDT	5.89	P
USGS	03253000	2015-03-19 01:45	EDT	5.89	P
USGS	03253000	2015-03-19 02:00	EDT	5.87	P
USGS	03253000	2015-03-19 02:15	EDT	5.88	P
USGS	03253000	2015-03-19 02:30	EDT	5.86	P
USGS	03253000	2015-03-19 02:45	EDT	5.86	P
USGS	03253000	2015-03-19 03:00	EDT	5.86	P
USGS	03253000	2015-03-19 03:15	EDT	5.85	P
USGS	03253000	2015-03-19 03:30	EDT	5.84	P
USGS	03253000	2015-03-19 03:45	EDT	5.84	P
USGS	03253000	2015-03-19 04:00	EDT	5.84	P
USGS	03253000	2015-03-19 04:15	EDT	5.83	P
USGS	03253000	2015-03-19 04:30	EDT	5.83	P
USGS	03253000	2015-03-19 04:45	EDT	5.82	P
USGS	03253000	2015-03-19 05:00	EDT	5.83	P
USGS	03253000	2015-03-19 05:15	EDT	5.81	P
USGS	03253000	2015-03-19 05:30	EDT	5.81	P
USGS	03253000	2015-03-19 05:45	EDT	5.81	P
USGS	03253000	2015-03-19 06:00	EDT	5.79	P
USGS	03253000	2015-03-19 06:15	EDT	5.79	P
USGS	03253000	2015-03-19 06:30	EDT	5.80	P
USGS	03253000	2015-03-19 06:45	EDT	5.79	P
USGS	03253000	2015-03-19 07:00	EDT	5.78	P
USGS	03253000	2015-03-19 07:15	EDT	5.79	P
USGS	03253000	2015-03-19 07:30	EDT	5.77	P
USGS	03253000	2015-03-19 07:45	EDT	5.77	P
USGS	03253000	2015-03-19 08:00	EDT	5.74	P
USGS	03253000	2015-03-19 08:15	EDT	5.76	P
USGS	03253000	2015-03-19 08:30	EDT	5.75	P
USGS	03253000	2015-03-19 08:45	EDT	5.75	P
USGS	03253000	2015-03-19 09:00	EDT	5.75	P
USGS	03253000	2015-03-19 09:15	EDT	5.73	P
USGS	03253000	2015-03-19 09:30	EDT	5.72	P
USGS	03253000	2015-03-19 09:45	EDT	5.72	P
USGS	03253000	2015-03-19 10:00	EDT	5.72	P
USGS	03253000	2015-03-19 10:15	EDT	5.71	P
USGS	03253000	2015-03-19 10:30	EDT	5.71	P
USGS	03253000	2015-03-19 10:45	EDT	5.70	P
USGS	03253000	2015-03-19 11:00	EDT	5.70	P
USGS	03253000	2015-03-19 11:15	EDT	5.70	P
USGS	03253000	2015-03-19 11:30	EDT	5.69	P
USGS	03253000	2015-03-19 11:45	EDT	5.69	P
USGS	03253000	2015-03-19 12:00	EDT	5.68	P
USGS	03253000	2015-03-19 12:15	EDT	5.68	P
USGS	03253000	2015-03-19 12:30	EDT	5.68	P
USGS	03253000	2015-03-19 12:45	EDT	5.65	P
USGS	03253000	2015-03-19 13:00	EDT	5.67	P
USGS	03253000	2015-03-19 13:15	EDT	5.67	P
USGS	03253000	2015-03-19 13:30	EDT	5.67	P
USGS	03253000	2015-03-19 13:45	EDT	5.66	P
USGS	03253000	2015-03-19 14:00	EDT	5.64	P
USGS	03253000	2015-03-19 14:15	EDT	5.65	P
USGS	03253000	2015-03-19 14:30	EDT	5.65	P
USGS	03253000	2015-03-19 14:45	EDT	5.63	P
USGS	03253000	2015-03-19 15:00	EDT	5.62	P
USGS	03253000	2015-03-19 15:15	EDT	5.62	P
USGS	03253000	2015-03-19 15:30	EDT	5.63	P
USGS	03253000	2015-03-19 15:45	EDT	5.62	P
USGS	03253000	2015-03-19 16:00	EDT	5.62	P
USGS	03253000	2015-03-19 16:15	EDT	5.61	P
USGS	03253000	2015-03-19 16:30	EDT	5.61	P
USGS	03253000	2015-03-19 16:45	EDT	5.60	P
USGS	03253000	2015-03-19 17:00	EDT	5.60	P
USGS	03253000	2015-03-19 17:15	EDT	5.60	P
USGS	03253000	2015-03-19 17:30	EDT	5.59	P
USGS	03253000	2015-03-19 17:45	EDT	5.59	P
USGS	03253000	2015-03-19 18:00	EDT	5.58	P
USGS	03253000	2015-03-19 18:15	EDT	5.57	P
USGS	03253000	2015-03-19 18:30	EDT	5.58	P
USGS	03253000	2015-03-19 18:45	EDT	5.57	P
USGS	03253000	2015-03-19 19:00	EDT	5.56	P
USGS	03253000	2015-03-19 19:15	EDT	5.56	P
USGS	03253000	2015-03-19 19:30	EDT	5.55	P
USGS	03253000	2015-03-19 19:45	EDT	5.55	P
USGS	03253000	2015-03-19 20:00	EDT	5.55	P
USGS	03253000	2015-03-19 20:15	EDT	5.55	P
USGS	03253000	2015-03-19 20:30	EDT	5.54	P
USGS	03253000	2015-03-19 20:45	EDT	5.53	P
USGS	03253000	2015-03-19 21:00	EDT	5.53	P
USGS	03253000	2015-03-19 21:15	EDT	5.54	P
USGS	03253000	2015-03-19 21:30	EDT	5.53	P
USGS	03253000	2015-03-19 21:45	EDT	5.53	P
USGS	03253000	2015-03-19 22:00	EDT	5.53	P
USGS	03253000	2015-03-19 22:15	EDT	5.52	P
USGS	03253000	2015-03-19 22:30	EDT	5.53	P
USGS	03253000	2015-03-19 22:45	EDT	5.51	P
USGS	03253000	2015-03-19 23:00	EDT	5.52	P
USGS	03253000	2015-03-19 23:15	EDT	5.50	P
USGS	03253000	2015-03-19 23:30	EDT	5.51	P
USGS	03253000	2015-03-19 23:45	EDT	5.51	P
USGS	03253000	2015-03-20 00:00	EDT	5.51	P
USGS	03253000	2015-03-20 00:15	EDT	5.50	P
USGS	03253000	2015-03-20 00:30	EDT	5.50	P
USGS	03253000	2015-03-20 00:45	EDT	5.49	P
USGS	03253000	2015-03-20 01:00	EDT	5.48	P
USGS	03253000	2015-03-20 01:15	EDT	5.50	P
USGS	03253000	2015-03-20 01:30	EDT	5.48	P
USGS	03253000	2015-03-20 01:45	EDT	5.49	P
USGS	03253000	2015-03-20 02:00	EDT	5.47	P
USGS	03253000	2015-03-20 02:15	EDT	5.47	P
USGS	03253000	2015-03-20 02:30	EDT	5.47	P
USGS	03253000	2015-03-20 02:45	EDT	5.47	P
USGS	03253000	2015-03-20 03:00	EDT	5.47	P
USGS	03253000	2015-03-20 03:15	EDT	5.46	P
USGS	03253000	2015-03-20 03:30	EDT	5.46	P
USGS	03253000	2015-03-20 03:45	EDT	5.46	P
USGS	03253000	2015-03-20 04:00	EDT	5.45	P
USGS	03253000	2015-03-20 04:15	EDT	5.44	P
USGS	03253000	2015-03-20 04:30	EDT	5.44	P
USGS	03253000	2015-03-20 04:45	EDT	5.45	P
USGS	03253000	2015-03-20 05:00	EDT	5.44	P
USGS	03253000	2015-03-20 05:15	EDT	5.44	P
USGS	03253000	2015-03-20 05:30	EDT	5.44	P
USGS	03253000	2015-03-20 05:45	EDT	5.43	P
USGS	03253000	2015-03-20 06:00	EDT	5.43	P
USGS	03253000	2015-03-20 06:15	EDT	5.42	P
USGS	03253000	2015-03-20 06:30	EDT	5.43	P
USGS	03253000	2015-03-20 06:45	EDT	5.42	P
USGS	03253000	2015-03-20 07:00	EDT	5.42	P
USGS	03253000	2015-03-20 07:15	EDT	5.42	P
USGS	03253000	2015-03-20 07:30	EDT	5.41	P
USGS	03253000	2015-03-20 07:45	EDT	5.42	P
USGS	03253000	2015-03-20 08:00	EDT	5.42	P
USGS	03253000	2015-03-20 08:15	EDT	5.40	P
USGS	03253000	2015-03-20 08:30	EDT	5.41	P
USGS	03253000	2015-03-20 08:45	EDT	5.40	P
USGS	03253000	2015-03-20 09:00	EDT	5.39	P
USGS	03253000	2015-03-20 09:15	EDT	5.40	P
USGS	03253000	2015-03-20 09:30	EDT	5.39	P
USGS	03253000	2015-03-20 09:45	EDT	5.38	P
USGS	03253000	2015-03-20 10:00	EDT	5.39	P
USGS	03253000	2015-03-20 10:15	EDT	5.38	P
USGS	03253000	2015-03-20 10:30	EDT	5.38	P
USGS	03253000	2015-03-20 10:45	EDT	5.38	P
USGS	03253000	2015-03-20 11:00	EDT	5.38	P
USGS	03253000	2015-03-20 11:15	EDT	5.37	P
USGS	03253000	2015-03-20 11:30	EDT	5.38	P
USGS	03253000	2015-03-20 11:45	EDT	5.37	P
USGS	03253000	2015-03-20 12:00	EDT	5.37	P
USGS	03253000	2015-03-20 12:15	EDT	5.37	P
USGS	03253000	2015-03-20 12:30	EDT	5.36	P
USGS	03253000	2015-03-20 12:45	EDT	5.37	P
USGS	03253000	2015-03-20 13:00	EDT	5.37	P
USGS	03253000	2015-03-20 13:15	EDT	5.37	P
USGS	03253000	2015-03-20 13:30	EDT	5.37	P
USGS	03253000	2015-03-20 13:45	EDT	5.36	P
USGS	03253000	2015-03-20 14:00	EDT	5.36	P
USGS	03253000	2015-03-20 14:15	EDT	5.36	P
USGS	03253000	2015-03-20 14:30	EDT	5.36	P
USGS	03253000	2015-03-20 14:45	EDT	5.36	P
USGS	03253000	2015-03-20 15:00	EDT	5.34	P
